time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.22,0.1593,0.9886,0.0812,0,0,0,0.0062,-0.0088,0.0057
0.226,0.159,0.9879,0.0851,0,0,0,0.0062,-0.0088,0.0057
0.227,0.1571,0.986,0.0839,0,0,0,0.0062,-0.0088,0.0057
0.23,0.159,0.9869,0.0853,0,0,0,0.0062,-0.0088,0.0057
0.23,0.1598,0.9845,0.0871,0,0,0,0.0062,-0.0088,0.0057
0.235,0.1598,0.9845,0.0871,0,0,0,0.0012,-0.0065,0.0093
0.235,0.159,0.9847,0.0846,0,0,0,0.0012,-0.0065,0.0093
0.236,0.1583,0.9828,0.0861,0,0,0,0.0012,-0.0065,0.0093
0.239,0.16,0.9816,0.0888,0,0,0,0.0012,-0.0065,0.0093
0.239,0.161,0.9808,0.0924,0,0,0,0.0012,-0.0065,0.0093
0.244,0.161,0.9808,0.0924,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.246,0.1622,0.9828,0.0922,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.247,0.1629,0.9801,0.0905,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.249,0.1664,0.9816,0.09,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.249,0.1698,0.9816,0.0895,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.254,0.1676,0.9808,0.0897,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.254,0.1708,0.9828,0.088,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.26,0.1725,0.9821,0.0861,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.261,0.1754,0.9818,0.0836,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.264,0.1744,0.9825,0.0824,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.264,0.1771,0.9821,0.0814,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.271,0.1764,0.9828,0.0824,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.271,0.1761,0.9823,0.0802,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
0.273,0.1761,0.9821,0.0814,-0.0597,0.0097,-0.0091,0.0012,-0.0065,0.0093
