time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,subject_number,foot
8.931000000000001,-0.6377242217681692,0.6873745002676253,-0.07754000679172152,-0.7343956188575765,-5.198724995963417,-0.29402345995453244,0.35157475514742537,1.2470615321570575,2.0808619900328984,1,right
8.931000000000001,-0.6379522113204583,0.6968950702436143,-0.07554945329553305,-0.7958118255889831,-5.195698380647489,-0.29784200324609844,0.3388711714359192,1.2381499647330292,2.061607887711864,1,right
8.933,-0.6381241623307262,0.7063909438886599,-0.07350365502531611,-0.8573216029867335,-5.190759829985997,-0.3013530124968276,0.3260414895803853,1.2289907781393725,2.04138353824707,1,right
8.936,-0.638239680091039,0.7158551576405983,-0.0714042254896401,-0.9188849250410384,-5.18390432553551,-0.3045519810127939,0.3130934438635341,1.219587799955849,2.020213110605317,1,right
8.937000000000001,-0.6382984711128623,0.725280702310709,-0.069252815973941,-0.9804610428597703,-5.175128108955329,-0.30743446424008747,0.30003475837209304,1.20994490665718,1.9981215659622287,1,right
8.942,-0.6383003489978566,0.7346605324639836,-0.06705111635003834,-1.0420085394407832,-5.164428717957779,-0.3099960712279929,0.28687314361463234,1.2000660218894803,1.9751346376839216,1,right
8.943,-0.6382452404365958,0.7439875766217172,-0.0648008560703452,-1.1034853828636375,-5.151805020794731,-0.31223245693650603,0.2736162937909574,1.1899551155016725,1.9512788103420624,1,right
8.946,-0.6381331913460825,0.7532547483429061,-0.06250380535033968,-1.1648489780775348,-5.137257249255155,-0.31413931539646045,0.2602718846755691,1.1796162033041826,1.926581297698911,1,right
8.947000000000001,-0.637964373173944,0.7624549582512274,-0.0601617765306019,-1.2260562174621785,-5.120787030142951,-0.3157123737296127,0.2468475720773992,1.1690533475265499,1.9010700195963612,1,right
8.951,-0.637739089413499,0.771581127085963,-0.057776625601838744,-1.287063530338078,-5.102397415198798,-0.31694738703510206,0.23335099083775496,1.1582706579449111,1.8747735776805188,1,right
8.952,-0.6374577823758885,0.7806261998608681,-0.05535025388310985,-1.3478269316024818,-5.082092909424233,-0.3178401341477532,0.21978975432815306,1.147272293649671,1.8477212298909165,1,right
8.955,-0.6371210402456073,0.7895831612089963,-0.05288460986488051,-1.4083020696666821,-5.059879497760658,-0.3183864142727314,0.20617145440949586,1.1360624654230191,1.819942863641146,1,right
8.956,-0.6367296044122188,0.7984450519745847,-0.050381691261331935,-1.468444273869849,-5.0357646700704475,-0.31858204450008965,0.19250366181383363,1.1246454386953277,1.7914689676154283,1,right
8.961,-0.6362843770437477,0.8072049870932301,-0.047843547354242004,-1.5282086015438612,-5.009757444361841,-0.31842285820176275,0.17879392690977197,1.1130255370488473,1.7623306021034677,1,right
8.962,-0.6357864288589401,0.815856174784957,-0.045272281729619133,-1.5875498849027603,-4.981868388193832,-0.3179047043125689,0.16504978081241828,1.1012071462365,1.7325593677938609,1,right
8.967,-0.6352370070531064,0.8243919370643674,-0.04267005547078833,-1.646422777929508,-4.952109638191782,-0.3170234474957715,0.1512787367986202,1.0891947186829887,1.7021873729443244,1,right
8.968,-0.6346375433032516,0.8328057315344026,-0.04003909077007042,-1.7047818034316342,-4.920494917599089,-0.31577496919273557,0.1374882919881274,1.0769927784348463,1.6712471988451083,1,right
8.97,-0.6339896617009815,0.8410911743766509,-0.03738167480780673,-1.7625814004361513,-4.887039551784804,-0.3141551695551805,0.12368592925120984,1.0646059265254848,1.6397718634901342,1,right
8.97,-0.6332951863436278,0.849242064398577,-0.034700163695024176,-1.8197759720927635,-4.851760481621749,-0.3121599702574895,0.10987911930318824,1.0520388467207453,1.6077947833686812,1,right
8.974,-0.6325561481814876,0.8572524079489753,-0.031996986303118015,-1.8763199342529207,-4.814676274644328,-0.3097853181854795,0.09607532294627626,1.0392963116099057,1.5753497332888067,1,right
8.975,-0.6317747905943446,0.8651164444332328,-0.029274647848475707,-1.9321677648906632,-4.775807133889986,-0.30702718999697043,0.08228199341910038,1.026383189006573,1.5424708041421527,1,right
8.98,-0.6309535730517098,0.87282867200286,-0.026535733061459833,-1.9872740545294643,-4.735174904322988,-0.30388159754841243,0.06850657881424994,1.0133044486233695,1.5091923585183504,1,right
8.981,-0.6300951720823187,0.8803838727592046,-0.023782908585632527,-2.0415935578374045,-4.692803076734044,-0.3003445941807418,0.054756524524218954,1.000065168983812,1.4755489840758904,1,right
8.984,-0.6292024786619164,0.8877771365828477,-0.021018923969236453,-2.0950812465510213,-4.648716789004144,-0.2964122818565323,0.04103927567613108,0.9866705445343062,1.4415754445750777,1,right
8.985,-0.6282785911164435,0.8950038826009667,-0.018246610388509867,-2.1476923638860383,-4.6029428246159565,-0.29208081913939843,0.027362279515690865,0.9731258929186907,1.4073066284775508,1,right
8.99,-0.6273268028290635,0.9020598774019828,-0.015468876285572326,-2.1993824805909252,-4.555509608291096,-0.28734643000547994,0.013732987700876801,0.9594366623773095,1.3727774950157856,1,right
8.991,-0.6263505844197127,0.9089412493637694,-0.012688699490578772,-2.2501075527968446,-4.506447198626691,-0.28220541347570355,0.00015885846559148597,0.9456084392208195,1.338023017731136,1,right
8.992,-0.6253535604708859,0.9156444987732428,-0.009909115940039981,-2.2998239818150314,-4.455787277599794,-0.27665415405637084,-0.013352641388375615,0.931646955271852,1.303078125958466,1,right
8.994,-0.6243394811536804,0.9221665036925215,-0.007133205525218928,-2.3484886760300014,-4.403563136803466,-0.2706891329744632,-0.026794034716134937,0.9175580950652815,1.2679776455993075,1,right
