time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.054,0.0768,0.9772,0.2393,0,0,0,0,0,0
0.099,0.0741,0.9612,0.2259,0,0,0,0,0,0
0.166,0.1075,0.967,0.2445,0,0,0,0,0,0
0.167,0.0921,0.9724,0.2542,0,0,0,0,0,0
0.168,0.0806,0.962,0.249,0,0,0,0,0,0
0.171,0.1099,0.9913,0.2327,0,0,0,0,0,0
0.172,0.1099,0.9913,0.2327,0,0,0,0.0214,-0.1358,0.0465
0.173,0.1099,0.9913,0.2327,0,0,0,0.0214,-0.1358,0.0465
0.209,0.0944,0.9531,0.2275,0,0,0,0.0214,-0.1358,0.0465
0.232,0.1318,0.9654,0.2372,0,0,0,0.0214,-0.1358,0.0465
0.239,0.1047,0.9559,0.2262,0,0,0,0.0214,-0.1358,0.0465
0.24,0.1047,0.9559,0.2262,0,0,0,0.017,-0.0945,0.0423
0.241,0.1047,0.9559,0.2262,0.0313,-0.0134,0.0354,0.017,-0.0945,0.0423
0.299,0.1098,0.9753,0.2327,0.0313,-0.0134,0.0354,0.017,-0.0945,0.0423
0.3,0.1231,0.9681,0.2236,0.0313,-0.0134,0.0354,0.017,-0.0945,0.0423
0.3,0.1274,0.9643,0.2418,0.0313,-0.0134,0.0354,0.017,-0.0945,0.0423
0.319,0.1274,0.9643,0.2418,0.0313,-0.0134,0.0354,0.0123,-0.057,0.0327
0.32,0.1432,0.9389,0.2458,0.0313,-0.0134,0.0354,0.0123,-0.057,0.0327
0.32,0.1432,0.9389,0.2458,0.0752,-0.0745,-0.0402,0.0123,-0.057,0.0327
0.366,0.1543,0.9696,0.2116,0.0752,-0.0745,-0.0402,0.0123,-0.057,0.0327
0.367,0.1225,0.9769,0.2201,0.0752,-0.0745,-0.0402,0.0123,-0.057,0.0327
0.38,0.1225,0.9769,0.2201,0.0752,-0.0745,-0.0402,-0.0071,0.0194,-0.0379
0.381,0.1522,0.9735,0.2086,0.0752,-0.0745,-0.0402,-0.0071,0.0194,-0.0379
0.382,0.1522,0.9735,0.2086,0.2493,-0.0533,-0.0113,-0.0071,0.0194,-0.0379
0.432,0.0745,1.0044,0.2496,0.2493,-0.0533,-0.0113,-0.0071,0.0194,-0.0379
0.434,0.0568,0.9682,0.229,0.2493,-0.0533,-0.0113,-0.0071,0.0194,-0.0379
0.454,0.0993,0.9978,0.2236,0.2493,-0.0533,-0.0113,-0.0071,0.0194,-0.0379
0.455,0.0993,0.9978,0.2236,0.2493,-0.0533,-0.0113,0.0093,-0.124,-0.0475
0.456,0.0416,0.9656,0.2333,0.2493,-0.0533,-0.0113,0.0093,-0.124,-0.0475
0.457,0.0416,0.9656,0.2333,0.2092,0.0826,-0.1184,0.0093,-0.124,-0.0475
0.499,0.064,0.9689,0.2669,0.2092,0.0826,-0.1184,0.0093,-0.124,-0.0475
0.5,0.0596,0.9752,0.3034,0.2092,0.0826,-0.1184,0.0093,-0.124,-0.0475
0.513,0.0558,0.9601,0.2821,0.2092,0.0826,-0.1184,0.0093,-0.124,-0.0475
0.514,0.0558,0.9601,0.2821,0.2092,0.0826,-0.1184,0.0292,-0.2867,0.0383
0.515,0.0558,0.9601,0.2821,-0.3868,0.1092,0.0241,0.0292,-0.2867,0.0383
0.566,0.0884,0.9897,0.2604,-0.3868,0.1092,0.0241,0.0292,-0.2867,0.0383
0.567,0.123,0.9645,0.2178,-0.3868,0.1092,0.0241,0.0292,-0.2867,0.0383
0.591,0.123,0.9645,0.2178,-0.3868,0.1092,0.0241,0.0838,-0.3359,0.0725
0.592,0.1479,0.9513,0.2328,-0.3868,0.1092,0.0241,0.0838,-0.3359,0.0725
0.593,0.2133,0.948,0.2104,-0.3868,0.1092,0.0241,0.0838,-0.3359,0.0725
0.594,0.2133,0.948,0.2104,-0.458,0.0005,0.5185,0.0838,-0.3359,0.0725
0.632,0.1813,0.9626,0.2134,-0.458,0.0005,0.5185,0.0838,-0.3359,0.0725
0.633,0.1882,0.9519,0.2038,-0.458,0.0005,0.5185,0.0838,-0.3359,0.0725
0.65,0.1882,0.9519,0.2038,-0.458,0.0005,0.5185,0.1158,-0.0947,-0.0495
0.651,0.1853,0.972,0.2628,-0.458,0.0005,0.5185,0.1158,-0.0947,-0.0495
0.652,0.1853,0.972,0.2628,0.3555,-0.1252,0.0411,0.1158,-0.0947,-0.0495
0.698,0.1439,0.9558,0.2583,0.3555,-0.1252,0.0411,0.1158,-0.0947,-0.0495
0.699,0.1881,0.9729,0.2247,0.3555,-0.1252,0.0411,0.1158,-0.0947,-0.0495
0.729,0.1632,0.9737,0.2165,0.3555,-0.1252,0.0411,0.1158,-0.0947,-0.0495
0.731,0.1632,0.9737,0.2165,0.7001,-0.1403,0.1787,0.1158,-0.0947,-0.0495
0.732,0.1568,0.9667,0.2065,0.7001,-0.1403,0.1787,0.1158,-0.0947,-0.0495
0.732,0.1568,0.9667,0.2065,0.7001,-0.1403,0.1787,0.1837,0.1764,-0.1915
0.767,0.148,0.9714,0.2294,0.7001,-0.1403,0.1787,0.1837,0.1764,-0.1915
0.789,0.0928,0.9656,0.1994,0.7001,-0.1403,0.1787,0.1837,0.1764,-0.1915
0.79,0.0928,0.9656,0.1994,0.7001,-0.1403,0.1787,0.2215,0.3989,-0.2858
0.791,0.054,0.9855,0.1757,0.7001,-0.1403,0.1787,0.2215,0.3989,-0.2858
0.791,0.054,0.9855,0.1757,0.7159,-0.0776,0.197,0.2215,0.3989,-0.2858
0.833,0.0585,0.9784,0.182,0.7159,-0.0776,0.197,0.2215,0.3989,-0.2858
0.834,0.0548,0.9823,0.1635,0.7159,-0.0776,0.197,0.2215,0.3989,-0.2858
0.866,0.0134,0.9845,0.143,0.7159,-0.0776,0.197,0.2215,0.3989,-0.2858
0.867,0.0134,0.9845,0.143,0.7159,-0.0776,0.197,0.2179,0.3315,-0.249
0.867,0.0134,0.9845,0.143,0.1753,-0.0993,0.0582,0.2179,0.3315,-0.249
0.868,0.0055,0.984,0.1542,0.1753,-0.0993,0.0582,0.2179,0.3315,-0.249
0.901,-0.038,0.9869,0.2109,0.1753,-0.0993,0.0582,0.2179,0.3315,-0.249
0.923,-0.038,0.9869,0.2109,0.1753,-0.0993,0.0582,0.2414,0.1078,-0.0859
0.924,-0.0211,1.0084,0.2396,0.1753,-0.0993,0.0582,0.2414,0.1078,-0.0859
0.924,-0.0296,0.9697,0.2222,0.1753,-0.0993,0.0582,0.2414,0.1078,-0.0859
0.925,-0.0296,0.9697,0.2222,-0.3122,0.0117,-0.1321,0.2414,0.1078,-0.0859
0.966,-0.0312,1.0098,0.2153,-0.3122,0.0117,-0.1321,0.2414,0.1078,-0.0859
0.967,-0.0279,0.9954,0.1943,-0.3122,0.0117,-0.1321,0.2414,0.1078,-0.0859
1.001,-0.0279,0.9954,0.1943,-0.3122,0.0117,-0.1321,0.2721,-0.072,0.1003
1.002,0.0515,0.9926,0.1272,-0.3122,0.0117,-0.1321,0.2721,-0.072,0.1003
