time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz
0.219,-0.6032,0.7517,0.2808,0,0,0,0.0338,-0.0279,0.0031
0.219,-0.6019,0.7536,0.2783,0,0,0,0.0338,-0.0279,0.0031
0.223,-0.5995,0.7553,0.2791,0,0,0,0.0338,-0.0279,0.0031
0.224,-0.5973,0.7556,0.2754,0,0,0,0.0338,-0.0279,0.0031
0.229,-0.5958,0.7593,0.2788,0,0,0,0.0338,-0.0279,0.0031
0.23,-0.5934,0.7595,0.2791,0,0,0,0.0338,-0.0279,0.0031
0.232,-0.5963,0.7583,0.2835,0,0,0,0.0338,-0.0279,0.0031
0.233,-0.5946,0.758,0.2849,0,0,0,0.0338,-0.0279,0.0031
0.238,-0.5936,0.7578,0.2859,0,0,0,0.0338,-0.0279,0.0031
0.238,-0.5936,0.7578,0.2859,0,0,0,0.007,0.0087,0.006
0.239,-0.5946,0.7578,0.2881,0,0,0,0.007,0.0087,0.006
0.243,-0.5917,0.7553,0.2886,0,0,0,0.007,0.0087,0.006
0.243,-0.5934,0.7575,0.2866,0,0,0,0.007,0.0087,0.006
0.249,-0.5934,0.7575,0.2866,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.249,-0.5927,0.7595,0.2886,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.25,-0.5897,0.7588,0.2886,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.252,-0.5883,0.7612,0.2898,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.253,-0.5888,0.76,0.2898,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.259,-0.5878,0.7583,0.2903,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.259,-0.5863,0.7585,0.2903,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.264,-0.5873,0.758,0.2903,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.265,-0.5892,0.7602,0.2915,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.268,-0.59,0.76,0.2928,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.268,-0.5917,0.7588,0.2913,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.272,-0.5941,0.7568,0.293,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.273,-0.5934,0.758,0.2942,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.276,-0.5924,0.7544,0.292,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.277,-0.5929,0.7546,0.295,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.282,-0.5934,0.7522,0.292,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.282,-0.5919,0.7483,0.2928,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.287,-0.5919,0.749,0.2947,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.288,-0.5951,0.7492,0.2974,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.293,-0.5954,0.7478,0.2964,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.294,-0.5946,0.748,0.2967,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.297,-0.5961,0.7483,0.2935,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.297,-0.5946,0.7483,0.2945,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.302,-0.5966,0.749,0.295,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.302,-0.5966,0.7483,0.295,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.309,-0.5961,0.748,0.2945,0.0516,0.0617,-0.0669,0.007,0.0087,0.006
0.309,-0.5961,0.748,0.2945,0.0516,0.0617,-0.0669,-0.0021,0.01,0.0014
0.31,-0.5951,0.7463,0.2937,0.0516,0.0617,-0.0669,-0.0021,0.01,0.0014
0.311,-0.5963,0.7448,0.2947,0.0516,0.0617,-0.0669,-0.0021,0.01,0.0014
0.311,-0.5983,0.7448,0.2959,0.0516,0.0617,-0.0669,-0.0021,0.01,0.0014
0.316,-0.5983,0.7448,0.2959,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.317,-0.6005,0.7414,0.2969,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.319,-0.601,0.7402,0.2979,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.322,-0.5995,0.7407,0.2962,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.323,-0.6017,0.7422,0.2954,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.326,-0.6027,0.7439,0.2964,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.327,-0.6049,0.7436,0.2957,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.331,-0.6054,0.7461,0.2945,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.332,-0.6063,0.7478,0.2962,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.336,-0.6095,0.7456,0.2896,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.336,-0.6093,0.7431,0.2913,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.345,-0.6083,0.7446,0.2928,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.345,-0.6056,0.7446,0.2896,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.346,-0.6024,0.7461,0.2915,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.346,-0.5978,0.7466,0.2906,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.35,-0.5983,0.7456,0.2925,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.35,-0.5966,0.7431,0.2932,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.355,-0.5983,0.738,0.2901,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.355,-0.5939,0.7319,0.2913,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.36,-0.5932,0.7314,0.2964,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.361,-0.5932,0.7307,0.2952,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.364,-0.5946,0.7326,0.2913,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.365,-0.5958,0.736,0.2908,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.37,-0.5988,0.7368,0.2913,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.37,-0.6002,0.7409,0.2942,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.376,-0.6022,0.7424,0.2942,0.0738,0.0207,-0.0359,-0.0021,0.01,0.0014
0.377,-0.6022,0.7424,0.2942,0.0738,0.0207,-0.0359,0.0033,0.0014,0.0042
0.377,-0.601,0.7412,0.2976,0.0738,0.0207,-0.0359,0.0033,0.0014,0.0042
0.38,-0.6061,0.7451,0.2986,0.0738,0.0207,-0.0359,0.0033,0.0014,0.0042
0.381,-0.6063,0.7456,0.2947,0.0738,0.0207,-0.0359,0.0033,0.0014,0.0042
0.386,-0.6056,0.75,0.2964,0.0738,0.0207,-0.0359,0.0033,0.0014,0.0042
0.387,-0.6056,0.75,0.2964,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.388,-0.6071,0.7512,0.2928,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.39,-0.6068,0.7536,0.2913,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.39,-0.6059,0.759,0.2898,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.394,-0.6044,0.7595,0.2896,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.394,-0.6017,0.7593,0.2896,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.399,-0.6002,0.7644,0.2896,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.4,-0.5975,0.7629,0.2908,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.404,-0.5932,0.7629,0.2901,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.404,-0.5944,0.7644,0.2891,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.409,-0.5939,0.7634,0.2884,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.409,-0.5927,0.7637,0.2869,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.413,-0.5927,0.7627,0.2898,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.414,-0.5905,0.7654,0.2901,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.419,-0.587,0.7656,0.2908,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.42,-0.5878,0.7654,0.2896,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.424,-0.5897,0.7666,0.2906,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.425,-0.5924,0.7688,0.2896,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.429,-0.5951,0.7685,0.2886,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.43,-0.5968,0.7612,0.2898,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.433,-0.5941,0.7617,0.2935,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.434,-0.5927,0.7617,0.2945,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.438,-0.5941,0.7639,0.2937,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.438,-0.5973,0.7661,0.2913,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.443,-0.6017,0.7607,0.2891,0.0526,0.0091,0.0512,0.0033,0.0014,0.0042
0.444,-0.6017,0.7607,0.2891,0.0526,0.0091,0.0512,0.0042,-0.0154,0.0099
0.445,-0.5988,0.7571,0.2903,0.0526,0.0091,0.0512,0.0042,-0.0154,0.0099
0.448,-0.5971,0.7549,0.2901,0.0526,0.0091,0.0512,0.0042,-0.0154,0.0099
0.449,-0.5932,0.7531,0.2928,0.0526,0.0091,0.0512,0.0042,-0.0154,0.0099
0.452,-0.5944,0.7531,0.2918,0.0526,0.0091,0.0512,0.0042,-0.0154,0.0099
0.453,-0.599,0.7517,0.2901,0.0526,0.0091,0.0512,0.0042,-0.0154,0.0099
0.454,-0.599,0.7517,0.2901,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.458,-0.5973,0.7497,0.293,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.459,-0.5963,0.7531,0.2932,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.462,-0.5954,0.7519,0.2932,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.463,-0.5929,0.75,0.2886,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.467,-0.5917,0.7463,0.2906,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.468,-0.591,0.7487,0.2964,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.472,-0.5914,0.7507,0.2974,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.472,-0.5956,0.7524,0.293,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.477,-0.5941,0.7507,0.2891,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.478,-0.5932,0.7495,0.292,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.482,-0.5912,0.7461,0.2928,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.482,-0.591,0.7436,0.292,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.487,-0.5936,0.7404,0.2862,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.488,-0.5949,0.7404,0.2959,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.492,-0.5985,0.7434,0.2969,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.493,-0.598,0.7439,0.2932,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.497,-0.5975,0.7473,0.2925,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.497,-0.6002,0.7502,0.2915,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.502,-0.6005,0.7522,0.2903,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.502,-0.6039,0.7551,0.2913,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.506,-0.6068,0.7575,0.2898,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.507,-0.6093,0.758,0.2884,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.512,-0.6098,0.7593,0.2871,-0.0288,-0.0735,0.0359,0.0042,-0.0154,0.0099
0.512,-0.6098,0.7593,0.2871,-0.0288,-0.0735,0.0359,0.0039,-0.0428,0.0041
0.513,-0.611,0.7585,0.2888,-0.0288,-0.0735,0.0359,0.0039,-0.0428,0.0041
0.516,-0.6117,0.7585,0.2884,-0.0288,-0.0735,0.0359,0.0039,-0.0428,0.0041
0.516,-0.6117,0.759,0.2876,-0.0288,-0.0735,0.0359,0.0039,-0.0428,0.0041
0.521,-0.6117,0.759,0.2876,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.522,-0.6122,0.7585,0.2884,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.522,-0.6117,0.7578,0.2886,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.526,-0.6139,0.7588,0.2891,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.527,-0.6154,0.76,0.291,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.532,-0.6186,0.7597,0.2886,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.533,-0.622,0.7612,0.2879,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.536,-0.6222,0.7659,0.2852,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.537,-0.623,0.7676,0.2813,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.54,-0.6225,0.7666,0.2776,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.541,-0.6227,0.7695,0.2754,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.546,-0.6183,0.7707,0.2737,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.547,-0.6166,0.7707,0.27,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.552,-0.6144,0.769,0.2725,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.553,-0.6095,0.7659,0.2735,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.555,-0.6039,0.7617,0.271,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.556,-0.5958,0.7624,0.2703,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.56,-0.589,0.7627,0.2688,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.561,-0.5814,0.7649,0.2708,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.565,-0.5758,0.7637,0.2722,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.565,-0.5682,0.7622,0.2742,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.57,-0.5631,0.7627,0.2757,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.571,-0.557,0.7617,0.2732,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.577,-0.5487,0.7656,0.2725,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.577,-0.5445,0.7654,0.2725,0.0129,0.0957,-0.0114,0.0039,-0.0428,0.0041
0.58,-0.5445,0.7654,0.2725,0.0129,0.0957,-0.0114,0.0085,-0.1669,-0.0052
0.581,-0.537,0.7656,0.273,0.0129,0.0957,-0.0114,0.0085,-0.1669,-0.0052
0.581,-0.5316,0.7668,0.2742,0.0129,0.0957,-0.0114,0.0085,-0.1669,-0.0052
0.584,-0.5301,0.7656,0.2798,0.0129,0.0957,-0.0114,0.0085,-0.1669,-0.0052
0.585,-0.5282,0.7668,0.2844,0.0129,0.0957,-0.0114,0.0085,-0.1669,-0.0052
0.59,-0.5282,0.7668,0.2844,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.59,-0.5311,0.7632,0.2869,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.591,-0.5309,0.7629,0.2842,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.595,-0.5313,0.7624,0.2852,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.595,-0.5316,0.7634,0.2852,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.599,-0.5289,0.7612,0.2847,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.6,-0.5279,0.7619,0.2832,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.605,-0.5287,0.7602,0.2852,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.605,-0.5301,0.7561,0.2893,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.609,-0.5389,0.7551,0.292,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.609,-0.5462,0.7509,0.2979,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.614,-0.5563,0.7502,0.2972,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.615,-0.5619,0.7487,0.3001,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.62,-0.5707,0.748,0.2984,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.621,-0.5768,0.7505,0.2998,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.624,-0.5853,0.7509,0.2994,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.624,-0.588,0.7497,0.2962,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.629,-0.5939,0.7539,0.293,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.63,-0.5946,0.7529,0.2923,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.633,-0.5985,0.7522,0.2932,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.634,-0.6007,0.7512,0.2947,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.639,-0.6027,0.7519,0.292,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.639,-0.6039,0.7487,0.293,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.643,-0.6076,0.75,0.2918,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.644,-0.6066,0.7507,0.2945,-0.0476,-0.0028,-0.0599,0.0085,-0.1669,-0.0052
0.648,-0.6066,0.7507,0.2945,-0.0476,-0.0028,-0.0599,-0.04,-0.0074,-0.0246
0.649,-0.6098,0.7512,0.2935,-0.0476,-0.0028,-0.0599,-0.04,-0.0074,-0.0246
0.649,-0.6127,0.7531,0.2913,-0.0476,-0.0028,-0.0599,-0.04,-0.0074,-0.0246
0.654,-0.6134,0.7549,0.2932,-0.0476,-0.0028,-0.0599,-0.04,-0.0074,-0.0246
0.655,-0.6149,0.7566,0.2896,-0.0476,-0.0028,-0.0599,-0.04,-0.0074,-0.0246
0.659,-0.6112,0.7588,0.2915,-0.0476,-0.0028,-0.0599,-0.04,-0.0074,-0.0246
0.66,-0.6112,0.7588,0.2915,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.661,-0.609,0.7612,0.2923,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.664,-0.6081,0.7622,0.2891,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.665,-0.6076,0.7605,0.2884,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.668,-0.6061,0.7605,0.2888,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.669,-0.6027,0.7617,0.2898,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.672,-0.5983,0.7617,0.2937,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.672,-0.5966,0.761,0.2908,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.678,-0.5917,0.759,0.291,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.678,-0.5888,0.7571,0.2903,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.682,-0.5917,0.7615,0.293,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.683,-0.5888,0.7632,0.2945,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.687,-0.5944,0.761,0.3011,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.688,-0.6005,0.7612,0.3011,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.692,-0.6068,0.7617,0.3008,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.693,-0.6132,0.76,0.304,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.7,-0.6105,0.7629,0.3013,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.7,-0.6103,0.7663,0.2954,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.702,-0.6066,0.7666,0.294,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.702,-0.599,0.7666,0.2901,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.707,-0.5922,0.7673,0.2918,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.708,-0.5914,0.7646,0.2937,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.712,-0.59,0.76,0.292,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.712,-0.5856,0.758,0.294,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
0.717,-0.5804,0.7558,0.2979,0.1126,0.1305,-0.1868,-0.04,-0.0074,-0.0246
